"","id","Identifier","type","rightsHolder","creator","accessURI","format","variantLiteral","license","scientificName","kingdom","family","vernacularName"
"1","100392820@OBS","https://observation.org/photos/8192554/","StillImage","Wout Willems","Wout Willems","https://observation.org/photos/8192554.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Apodemus agrarius","Animalia","OLD_WORLD_MICE_AND_RATS_MURIDAE","Striped Field Mouse"
"2","100392841@OBS","https://observation.org/photos/8192558/","StillImage","Wout Willems","Wout Willems","https://observation.org/photos/8192558.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Capreolus capreolus","Animalia","DEER_CERVIDAE","European Roe Deer"
"3","100392857@OBS","https://observation.org/photos/8192568/","StillImage","Wout Willems","Wout Willems","https://observation.org/photos/8192568.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Aix galericulata","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Mandarin Duck"
"4","100392866@OBS","https://observation.org/photos/8192573/","StillImage","Wout Willems","Wout Willems","https://observation.org/photos/8192573.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Corvus cornix","Animalia","CROWS_AND_JAYS_CORVIDAE","Hooded Crow"
"5","100392880@OBS","https://observation.org/photos/8192578/","StillImage","Wout Willems","Wout Willems","https://observation.org/photos/8192578.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Sciurus vulgaris","Animalia","SQUIRRELS_CHIPMUNKS_AND_PRAIRIEDOGS_SCIURIDAE","Eurasian Red Squirrel"
"6","100392902@OBS","https://observation.org/photos/8192584/","StillImage","Wout Willems","Wout Willems","https://observation.org/photos/8192584.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Mergus merganser","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Common Merganser"
"7","100520036@OBS","https://observation.org/photos/8212737/","StillImage","Jeroen Breidenbach","Jeroen Breidenbach","https://observation.org/photos/8212737.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Eupithecia tantillaria","Animalia","Geometridae","Dwarf Pug"
"8","101893769@OBS","https://observation.org/photos/8640738/","StillImage","Stan v. Remmerden","Stan v. Remmerden","https://observation.org/photos/8640738.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Hyla orientalis","Animalia","Hylidae","Eastern Tree Frog"
"9","101893770@OBS","https://observation.org/photos/8640763/","StillImage","Stan v. Remmerden","Stan v. Remmerden","https://observation.org/photos/8640763.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Pelophylax spec.","Animalia","Ranidae","Green Frog spec."
"10","101893790@OBS","https://observation.org/photos/8640743/","StillImage","Stan v. Remmerden","Stan v. Remmerden","https://observation.org/photos/8640743.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0","Castor fiber","Animalia","BEAVERS_CASTORIDAE","Eurasian Beaver"
